,Date,Bexley,Hounslow
285,2000-10-11,6.8,15.3
286,2000-10-12,11.5,28.3
287,2000-10-13,21.3,29.7
288,2000-10-14,13.2,23.8
289,2000-10-15,20,24.8
290,2000-10-16,16.7,19.9
291,2000-10-17,14,21.7
292,2000-10-18,18.8,22.4
293,2000-10-19,19.1,23.4
294,2000-10-20,25.6,29.3
295,2000-10-21,16.1,18.9
296,2000-10-22,18,23.1
297,2000-10-23,10.6,15.4
298,2000-10-24,13.3,19
299,2000-10-25,13.6,15.7
300,2000-10-26,13.5,18.1
301,2000-10-27,12.1,NA
302,2000-10-28,8,14.8
303,2000-10-29,9.6,12
304,2000-10-30,7.4,12.8
305,2000-10-31,13.2,17.4
306,2000-11-01,11.4,15
307,2000-11-02,10.7,16.5
308,2000-11-03,26.5,25
309,2000-11-04,69,54.7
310,2000-11-05,17.7,23.7
311,2000-11-06,8.9,18.3
312,2000-11-07,12.5,18.4
313,2000-11-08,9,15.3
314,2000-11-09,13.1,18.3
315,2000-11-10,12.8,21.6
316,2000-11-11,8.3,10.9
317,2000-11-12,13.6,19.7
318,2000-11-13,24.4,30.2
319,2000-11-14,30.9,46.2
320,2000-11-15,27.8,40.2
321,2000-11-16,10.7,18.5
322,2000-11-17,14.4,22
323,2000-11-18,11,17.6
324,2000-11-19,7.5,11.5
325,2000-11-20,16.3,27.4
326,2000-11-21,13.1,23
327,2000-11-22,16.5,22.9
328,2000-11-23,19.4,30.5
329,2000-11-24,12.6,24.1
330,2000-11-25,15.3,20.8
331,2000-11-26,13.7,15.9
332,2000-11-27,21.8,29.3
333,2000-11-28,17.4,25.7
334,2000-11-29,20.3,25.1
335,2000-11-30,18.6,29
336,2000-12-01,12.4,18.3
337,2000-12-02,21.3,29.2
338,2000-12-03,14.9,19.9
339,2000-12-04,19.6,22.5
340,2000-12-05,16.8,24.6
341,2000-12-06,15.3,24.7
342,2000-12-07,17.3,22.8
343,2000-12-08,10.6,18.3
344,2000-12-09,11.7,19.2
345,2000-12-10,16.8,21.9
346,2000-12-11,19.2,22
347,2000-12-12,NA,12.2
348,2000-12-13,NA,21
349,2000-12-14,16.2,21.9
350,2000-12-15,16.8,23.5
351,2000-12-16,23,32.9
352,2000-12-17,22,25.6
353,2000-12-18,22.8,28.6
354,2000-12-19,24.5,30.2
355,2000-12-20,18.5,28.9
356,2000-12-21,29.8,37.4
357,2000-12-22,25.4,39
358,2000-12-23,30.8,39.6
359,2000-12-24,20.5,21.1
360,2000-12-25,6.8,9.9
361,2000-12-26,8.1,11.5
362,2000-12-27,12.5,17
363,2000-12-28,14,19.5
364,2000-12-29,20.9,25.7
365,2000-12-30,15.6,19.4
366,2000-12-31,NA,18
367,2001-01-01,NA,16
368,2001-01-02,NA,13.3
369,2001-01-03,NA,23.2
370,2001-01-04,11,17.6
371,2001-01-05,13.7,18.1
372,2001-01-06,15.3,21.6
373,2001-01-07,14,21.5
374,2001-01-08,17,21.2
375,2001-01-09,28,38.4
376,2001-01-10,17.4,21.4
377,2001-01-11,16.6,25.1
378,2001-01-12,16.3,23.3
379,2001-01-13,18.1,25.6
380,2001-01-14,13.9,18.4
381,2001-01-15,NA,33.4
382,2001-01-16,NA,49.3
383,2001-01-17,NA,64.6
384,2001-01-18,58.4,62.5
385,2001-01-19,46.1,68.6
386,2001-01-20,42.3,50
387,2001-01-21,19.6,25.8
388,2001-01-22,11.5,21.8
389,2001-01-23,11.8,19.9
390,2001-01-24,17.8,23.4
391,2001-01-25,9,15.6
392,2001-01-26,8.7,19.1
393,2001-01-27,16.1,25
394,2001-01-28,26.6,33.8
395,2001-01-29,26.9,31.3
396,2001-01-30,12.6,25.6
397,2001-01-31,19,26.6
398,2001-02-01,22.5,35
399,2001-02-02,14,23.7
400,2001-02-03,9.4,15.2
401,2001-02-04,6.6,11.7
402,2001-02-05,13.1,19.3
403,2001-02-06,16,20.3
404,2001-02-07,21.2,30.5
405,2001-02-08,8.6,15.7
